VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
1392,CONSTELLATION BRANDS INC,6650,Simi Chard,7.38,14.99,750.0,11199,82648.62,8458.0,93369.42,13558.87,949.7900000000001,79528.99,10720.800000000003,11.482131944270407,0.7552460041075096,1.1297154144860495,7.38,Medium,20228.579999999998
1392,CONSTELLATION BRANDS INC,22143,Simi Cab Svgn,10.52,18.99,750.0,4194,44120.88,2887.0,46523.13,13703.56,323.21000000000004,79528.99,2402.25,5.16356057728704,0.6883643299952312,1.0544470101230983,10.52,Medium,13749.64
516,BANFI PRODUCTS CORP,18152,Banfi Centine Mntcln Tscna,5.26,10.99,750.0,5723,30102.98,3891.0,31728.09,7605.68,436.17,8510.41,1625.1100000000006,5.121991270196222,0.6798881705399266,1.0539850207520982,5.26,Medium,9636.32
10754,PERFECTA WINES,25197,Ch La Rousseliere St Estephe,99.33,149.99,750.0,249,24733.170000000002,198.0,29698.02,1199.92,22.240000000000002,28720.52,4964.8499999999985,16.717781185412356,0.7951807228915663,1.200736500820558,99.33000000000001,Medium,5065.83
4425,MARTIGNETTI COMPANIES,8781,Rodney Strong Cab Svgn,10.32,15.99,750.0,2241,23127.12,1840.0,31245.6,11934.97,205.53,144929.24,8118.48,25.982794377448343,0.821062025881303,1.3510372238307233,10.32,Medium,4138.32
4425,MARTIGNETTI COMPANIES,6249,Rodney Strong Chard,7.84,11.99,750.0,2110,16542.4,1543.0,20080.57,8481.49,172.23000000000002,144929.24,3538.1699999999983,17.61986836031048,0.7312796208530805,1.213884926008318,7.840000000000001,Medium,4445.28
9552,M S WALKER INC,23355,Paul Dolan 12 Cab Svgn,9.6,14.49,750.0,1486,14265.6,1151.0,17253.49,5381.41,128.82,55551.82,2987.8900000000012,17.317597772972317,0.7745625841184388,1.2094472016599374,9.6,Medium,3216.0
8892,TRINCHERO FAMILY ESTATES,6269,Sutter Home Cab Svgn,5.37,9.99,1500.0,2509,13473.33,1766.0,14209.02,6115.4400000000005,395.85,11595.97,735.6900000000005,5.177626606198038,0.703866082104424,1.0546034276604226,5.37,Medium,3989.91
10754,PERFECTA WINES,14551,Cava Mistinguett Brut,5.29,15.99,750.0,2430,12854.699999999999,2283.0,18241.17,4754.05,255.84,28720.52,5386.469999999999,29.529191384105296,0.9395061728395062,1.419027281850218,5.289999999999999,Medium,777.63
9815,WINE GROUP INC,6869,Benziger Chard,6.8,14.99,750.0,1868,12702.4,1407.0,14121.93,4544.49,157.37,27100.41,1419.5300000000007,10.051954654923234,0.7532119914346895,1.1117528970903137,6.8,Medium,3134.7999999999997
9165,ULTRA BEVERAGE COMPANY LLP,24379,Madison's Ranch Cab Svgn,8.78,12.99,750.0,1359,11932.02,1909.0,24797.91,6105.3,214.06,68054.7,12865.89,51.8829611043834,1.404709345106696,2.0782658761886084,8.780000000000001,Medium,-4829.0
480,BACARDI USA INC,4881,Bacardi Twin Pack 2/750mls,14.81,19.99,750.0,785,11625.85,867.0,17331.329999999998,7196.4,683.0,89286.27,5705.479999999998,32.920035565649016,1.1044585987261146,1.4907580951070243,14.81,Medium,-1214.42
9744,FREDERICK WILDMAN & SONS,6542,Melini Borghi D'Elsa Chiant,3.71,8.99,750.0,3031,11245.01,1945.0,12781.55,4789.74,217.31,3999.93,1536.539999999999,12.02154668252285,0.6417024084460574,1.1366419416256632,3.71,Medium,4029.06
9552,M S WALKER INC,45604,Latour 12 Cuvee Bourg Rouge,13.07,19.99,750.0,807,10547.49,614.0,12273.859999999999,5037.48,68.49000000000001,55551.82,1726.369999999999,14.06542033231599,0.7608426270136307,1.16367590772781,13.07,Medium,2522.51
1392,CONSTELLATION BRANDS INC,14818,Simi Pnt Nr Sonoma Cnty,10.73,19.99,750.0,981,10526.13,659.0,10608.41,4968.93,73.5,79528.99,82.28000000000065,0.7756110482155257,0.6717635066258919,1.0078167379654253,10.729999999999999,Medium,3455.06
9165,ULTRA BEVERAGE COMPANY LLP,22447,Pizzolato Pnt Grigio,4.72,12.99,750.0,2096,9893.12,2039.0,14252.61,5165.610000000001,228.02,68054.7,4359.49,30.58730997340136,0.9728053435114504,1.440658760835813,4.720000000000001,Medium,269.03999999999996
480,BACARDI USA INC,4903,Bacardi Superior Rum,2.87,3.99,200.0,3300,9471.0,2860.0,11411.4,3379.53,600.6,89286.27,1940.3999999999996,17.00404858299595,0.8666666666666667,1.2048780487804878,2.87,Medium,1262.8
4425,MARTIGNETTI COMPANIES,26383,Buehler Chard RRV,7.89,15.99,750.0,1046,8252.94,2275.0,27397.25,8141.28,254.66,144929.24,19144.309999999998,69.87675770378414,2.1749521988527722,3.3196957690229176,7.890000000000001,Medium,-9696.81
8112,MOET HENNESSY USA INC,1024,Hennessey VS +VSOP 50mL,19.99,31.99,750.0,375,7496.25,512.0,14783.88,3190.91,403.26,48347.26,7287.629999999999,49.29443420806987,1.3653333333333333,1.9721700850425212,19.99,Medium,-2738.6299999999997
1392,CONSTELLATION BRANDS INC,32969,Alice White Shiraz Ausl,6.89,9.99,1500.0,1082,7454.9800000000005,783.0,7834.17,4937.07,174.72,79528.99,379.1899999999996,4.840206429015449,0.7236598890942699,1.050863986221291,6.890000000000001,Medium,2060.11
10754,PERFECTA WINES,2208,WhistlePig 10 Yr Old Rye,53.95,74.99,750.0,133,7175.35,147.0,11038.529999999999,6989.07,115.82000000000001,28720.52,3863.1799999999985,34.99723242134595,1.105263157894737,1.5383960364302784,53.95,Medium,-755.3000000000001
12546,JIM BEAM BRANDS COMPANY,1005,Maker's Mark Combo Pack,27.34,34.99,375.0,246,6725.64,280.0,9797.2,6123.25,109.72,123880.97,3071.5600000000004,31.35140652431307,1.1382113821138211,1.4566940841317704,27.34,Medium,-929.56
2555,DISARONNO INTERNATIONAL LLC,1212,DiSaronna Amaretto Sour VAP,14.38,21.99,750.0,443,6370.34,717.0,15596.83,8230.22,564.77,5861.03,9226.49,59.15618750733322,1.618510158013544,2.4483512653955675,14.38,Medium,-3940.1200000000003
4425,MARTIGNETTI COMPANIES,14061,Shafer One Pnt Five Cab Svgn,51.61,79.99,750.0,119,6141.59,94.0,7519.0599999999995,2799.6499999999996,10.51,144929.24,1377.4699999999993,18.319710176538017,0.7899159663865546,1.2242855677438578,51.61,Medium,1290.25
3089,SIDNEY FRANK IMPORTING CO,3410,American Harvest Organic,12.31,19.99,750.0,488,6007.28,367.0,6235.33,4383.419999999999,289.28000000000003,8549.55,228.05000000000018,3.6573846131640213,0.7520491803278688,1.0379622724427695,12.309999999999999,Medium,1489.51
3960,DIAGEO NORTH AMERICA INC,8606,Baileys Espresso Creme,0.73,0.99,50.0,7144,5215.12,5369.0,5315.31,801.9,281.25,257032.07,100.19000000000051,1.884932393406979,0.7515397536394177,1.0192114467164706,0.73,Medium,1295.75
90047,CRUSH WINES,23218,Tangent Chard,6.7,9.99,750.0,663,4442.1,700.0,6993.0,3086.91,78.0,1457.73,2550.8999999999996,36.47790647790647,1.0558069381598794,1.5742554197339096,6.7,Medium,-247.9
2000,SOUTHERN WINE & SPIRITS NE,20064,Ch Grand Leoville 10 Brdx,315.43,469.99,750.0,13,4100.59,11.0,5169.89,469.99,1.24,19016.59,1069.3000000000002,20.683225368431437,0.8461538461538461,1.2607673529906673,315.43,Large,630.86
653,STATE WINE & SPIRITS,23256,Robert Hall Cab Svgn,9.39,13.99,750.0,418,3925.02,923.0,12912.77,4784.58,103.14,8014.9800000000005,8987.75,69.60357847309291,2.208133971291866,3.289860943383728,9.39,Medium,-4741.950000000001
8112,MOET HENNESSY USA INC,1336,Gr Marnier Cordon Rouge VAP,19.42,26.99,750.0,185,3592.7,151.0,4317.49,2245.22,119.03,48347.26,724.79,16.787300028488776,0.8162162162162162,1.2017396387118324,19.419999999999998,Medium,660.2800000000001
1392,CONSTELLATION BRANDS INC,26143,R Mondavi Pvt Sel Svgn Bl,4.65,7.99,750.0,741,3445.6499999999996,448.0,4044.52,2425.3,49.7,79528.99,598.8700000000003,14.806948661398641,0.6045883940620783,1.1738046522426828,4.6499999999999995,Medium,1362.45
3960,DIAGEO NORTH AMERICA INC,3757,Ketel One 325 Commemorative,21.63,28.99,1000.0,157,3395.91,245.0,7102.55,2841.02,257.25,257032.07,3706.6400000000003,52.187453801803585,1.5605095541401275,2.0915012470884093,21.63,Medium,-1903.4399999999998
9165,ULTRA BEVERAGE COMPANY LLP,24429,Baracchi O'Lillo,8.1,11.99,750.0,375,3037.5,758.0,9088.42,4172.52,84.51,68054.7,6050.92,66.57834915199781,2.021333333333333,2.992072427983539,8.1,Medium,-3102.2999999999997
653,STATE WINE & SPIRITS,23795,Casa Silva Carmenere,10.8,19.99,750.0,275,2970.0,228.0,3645.72,1311.18,25.490000000000002,8014.9800000000005,675.7199999999998,18.534610447319043,0.8290909090909091,1.2275151515151514,10.8,Medium,507.6
4425,MARTIGNETTI COMPANIES,23074,Madrigal Cab Svgn,13.69,19.99,750.0,210,2874.9,342.0,6836.58,2518.74,38.22,144929.24,3961.68,57.948272381804934,1.6285714285714286,2.378023583428989,13.690000000000001,Medium,-1807.08
480,BACARDI USA INC,1330,Grey Goose Glass Pack,38.27,49.99,1750.0,73,2793.71,146.0,8232.54,5450.04,268.39,89286.27,5438.830000000001,66.06502974780565,2.0,2.9468126612998486,38.27,Medium,-2793.71
4425,MARTIGNETTI COMPANIES,21277,Nicholson Ranch Chard Son Ct,13.79,19.99,750.0,189,2606.31,271.0,5417.29,2538.73,30.16,144929.24,2810.98,51.88904415307285,1.433862433862434,2.07852864778173,13.79,Medium,-1130.78
4425,MARTIGNETTI COMPANIES,16931,Caymus Spec Select Cab Svgn,109.93,165.99,750.0,23,2528.39,39.0,6473.610000000001,1161.93,4.37,144929.24,3945.2200000000007,60.94312138049713,1.6956521739130435,2.5603684558157567,109.92999999999999,Large,-1758.88
653,STATE WINE & SPIRITS,9118,Caffo Sambuca Secolare,10.35,16.99,750.0,221,2287.35,177.0,2762.23,1927.78,139.55,8014.9800000000005,474.8800000000001,17.19190653928167,0.8009049773755657,1.2076114280717862,10.35,Medium,455.4
3960,DIAGEO NORTH AMERICA INC,3987,Smirnoff Peppermint Twist,8.65,12.99,750.0,264,2283.6,651.0,7156.49,3266.03,512.8,257032.07,4872.889999999999,68.0905024669915,2.465909090909091,3.1338631984585743,8.65,Medium,-3347.55
3960,DIAGEO NORTH AMERICA INC,3517,Smirnoff Sorbet Mango/Pasion,6.83,10.99,750.0,333,2274.39,291.0,2824.59,1921.02,229.45000000000002,257032.07,550.2000000000003,19.478933225707102,0.8738738738738738,1.241911017899305,6.829999999999999,Medium,286.86
9165,ULTRA BEVERAGE COMPANY LLP,15575,Monte Faliesi Falanghina,5.88,8.99,750.0,372,2187.36,392.0,3524.08,1753.05,43.59,68054.7,1336.7199999999998,37.93103448275861,1.053763440860215,1.611111111111111,5.880000000000001,Medium,-117.6
10754,PERFECTA WINES,10264,Fort Ross Pnt Nr Sonoma Cst,19.6,29.99,750.0,105,2058.0,212.0,6357.88,3118.96,23.62,28720.52,4299.88,67.63071967385355,2.019047619047619,3.089348882410107,19.6,Medium,-2097.2000000000003
4425,MARTIGNETTI COMPANIES,20693,Daou Cab Svgn,13.24,32.99,750.0,152,2012.48,380.0,7596.2,1819.09,42.59,144929.24,5583.719999999999,73.50675337668834,2.5,3.7745468277945617,13.24,Medium,-3018.7200000000003
480,BACARDI USA INC,2679,Dewars Highlander Honey,14.28,22.99,750.0,137,1956.3600000000001,440.0,8795.6,6196.9,346.92,89286.27,6839.24,77.75751512119695,3.2116788321167884,4.495900550001022,14.280000000000001,Medium,-4326.84
9552,M S WALKER INC,26943,Jordan Cab Svgn Alex Valley,33.11,49.99,750.0,58,1920.38,110.0,5498.900000000001,2299.54,12.25,55551.82,3578.5200000000004,65.07701540308062,1.896551724137931,2.8634436934356744,33.11,Medium,-1721.72
9165,ULTRA BEVERAGE COMPANY LLP,16647,Cesari Lugana Cento Filari,8.49,12.99,750.0,226,1918.74,163.0,2117.37,701.46,18.240000000000002,68054.7,198.62999999999988,9.380977344535905,0.7212389380530974,1.1035210606960817,8.49,Medium,534.87
17035,PERNOD RICARD USA,3811,Absolut Spark Vodka,12.68,16.99,750.0,147,1863.96,445.0,8005.549999999999,4137.7,350.59,123780.22,6141.589999999999,76.71665282210466,3.0272108843537415,4.294915126934054,12.68,Medium,-3778.64
516,BANFI PRODUCTS CORP,14710,Ch Tanunda Gr Barossa Shiraz,10.38,15.99,750.0,175,1816.5,129.0,2244.71,1174.32,14.360000000000001,8510.41,428.21000000000004,19.076406306382562,0.7371428571428571,1.2357335535370217,10.38,Medium,477.48
653,STATE WINE & SPIRITS,9136,Caffo Amaretto Liqueur,10.81,16.99,750.0,168,1816.08,149.0,2371.5099999999998,1814.87,117.49000000000001,8014.9800000000005,555.4299999999998,23.42094277485652,0.8869047619047619,1.3058400510990704,10.809999999999999,Medium,205.39000000000001
2561,EDRINGTON AMERICAS,2096,The Macallan Edition No 1,78.12,99.99,750.0,23,1796.7600000000002,36.0,3599.64,3299.6699999999996,28.41,9654.5,1802.8799999999997,50.08500850085008,1.565217391304348,2.0034061310358644,78.12,Large,-1015.5600000000001
3960,DIAGEO NORTH AMERICA INC,1001,Bailey's 50mL 4 Pack,4.28,5.99,50.0,405,1733.3999999999999,853.0,5109.47,1892.8400000000001,43.98,257032.07,3376.0700000000006,66.07475922160225,2.106172839506173,2.9476577823929855,4.279999999999999,Medium,-1917.44
9165,ULTRA BEVERAGE COMPANY LLP,19164,Tracia Malbec,3.99,6.49,750.0,429,1711.71,547.0,3531.53,1273.05,61.21,68054.7,1819.8200000000002,51.53063969441008,1.275058275058275,2.063159063159063,3.99,Medium,-470.82000000000005
4425,MARTIGNETTI COMPANIES,23840,Roth Est Red Heritage Sonoma,11.68,17.99,750.0,145,1693.6,140.0,2518.6,1475.1799999999998,15.530000000000001,144929.24,825.0,32.7562931787501,0.9655172413793104,1.4871280113367973,11.68,Medium,58.4
480,BACARDI USA INC,4252,Bacardi Limon Rum,0.77,0.99,50.0,2170,1670.9,2036.0,2015.64,675.18,105.56,89286.27,344.74,17.10325256494215,0.9382488479262673,1.2063199473337722,0.77,Medium,103.18
3960,DIAGEO NORTH AMERICA INC,3973,Ciroc Ten,181.09,229.99,1000.0,9,1629.81,9.0,2069.91,919.96,9.45,257032.07,440.0999999999999,21.261793991043085,1.0,1.2700314760616267,181.09,Large,0.0
3252,E & J GALLO WINERY,4150,Shellback Spiced Rum,8.63,11.99,750.0,188,1622.44,138.0,1654.6200000000001,311.74,108.72,61966.91,32.180000000000064,1.944857429500433,0.7340425531914894,1.0198343236113507,8.63,Medium,431.50000000000006
3252,E & J GALLO WINERY,5373,E&J Peach Brandy,7.47,10.99,750.0,211,1576.17,224.0,2179.26,1702.25,176.59,61966.91,603.0900000000001,27.67407285041712,1.061611374407583,1.382630046251356,7.470000000000001,Medium,-97.11
2561,EDRINGTON AMERICAS,2112,Cutty Sark Prohibition,15.55,26.99,750.0,99,1539.45,83.0,1874.1699999999998,1415.3799999999999,65.45,9654.5,334.7199999999998,17.859639200285983,0.8383838383838383,1.217428302315762,15.55,Medium,248.8
12546,JIM BEAM BRANDS COMPANY,2997,Yamazaki 12 Yr Japanese,63.23,85.99,750.0,24,1517.52,24.0,2063.7599999999998,601.93,18.88,123880.97,546.2399999999998,26.468193976043718,1.0,1.3599557172228371,63.23,Medium,0.0
12546,JIM BEAM BRANDS COMPANY,1520,Pinnacle Vodka Cane 4/50mls,3.02,3.99,50.0,500,1510.0,671.0,2677.29,1153.1100000000001,34.59,123880.97,1167.29,43.599684755853865,1.342,1.7730397350993377,3.02,Medium,-516.42
4425,MARTIGNETTI COMPANIES,21693,Chalk Hill Pnt Nr RRV,23.17,34.99,750.0,65,1506.0500000000002,55.0,1924.45,1504.5700000000002,6.07,144929.24,418.39999999999986,21.741276728415905,0.8461538461538461,1.277812821619468,23.17,Medium,231.70000000000002
1128,BROWN-FORMAN CORP,1244,Jack Daniels Winter Jack,12.79,17.99,750.0,117,1496.4299999999998,469.0,7465.31,3991.4900000000002,369.39,68601.68,5968.880000000001,79.9548846598467,4.0085470085470085,4.988746550122626,12.79,Medium,-4502.08
10754,PERFECTA WINES,14096,Citation Chard,21.37,30.99,750.0,70,1495.9,42.0,1511.58,287.92,4.74,28720.52,15.679999999999836,1.037325182921171,0.6,1.0104819840898456,21.37,Medium,598.36
12546,JIM BEAM BRANDS COMPANY,2953,Bowmore Mizurana,746.26,999.99,750.0,2,1492.52,3.0,2999.97,999.99,2.36,123880.97,1507.4499999999998,50.24883582169155,1.5,2.010003216037306,746.26,Small,-746.26
4425,MARTIGNETTI COMPANIES,2747,Speymalt Macallan 1993 20 Yr,123.07,159.99,750.0,12,1476.84,16.0,2559.84,639.96,12.6,144929.24,1083.0000000000002,42.30733170823177,1.3333333333333333,1.733322499390591,123.07,Large,-492.28
